Column,Accuracy,Precision,Recall,F1
Decision_DT_All,0.4019607843137255,0.38775533605254964,0.40045877325289087,0.3811226111428951
Decision_RF_All,0.37254901960784315,0.3616951149209213,0.3824995810289928,0.3496346686822877
Decision_LR_All,0.39215686274509803,0.3869332421964001,0.3922071392659628,0.3767090901950096
Decision_SVM_All,0.37254901960784315,0.3878161312371839,0.39139852522205465,0.337019737019737
Decision_DT_b46,0.38235294117647056,0.3751934129089302,0.37280878163231107,0.36100502240973525
Decision_RF_b46,0.4411764705882353,0.45384816207184625,0.44337187866599637,0.4117741935483871
Decision_LR_b46,0.45098039215686275,0.4336219336219336,0.46571141277023625,0.42514118422719854
Decision_SVM_b46,0.45098039215686275,0.4696572348746262,0.47326127032009385,0.4153464469253943
Decision_DT_b40,0.37254901960784315,0.30892857142857144,0.39089994972347913,0.3230901865084774
Decision_RF_b40,0.37254901960784315,0.2977106227106227,0.3922071392659628,0.3228395061728395
Decision_LR_b40,0.3333333333333333,0.21462301587301588,0.3564102564102564,0.2596113940765893
Decision_SVM_b40,0.3431372549019608,0.2612044817927171,0.35977878330819507,0.28387383689107826
Decision_DT_b4610,0.4019607843137255,0.39977962125020955,0.3873994469582705,0.38709734643275956
Decision_RF_b4610,0.4117647058823529,0.3842646550979884,0.4098751466398525,0.38324353151939355
Decision_LR_b4610,0.4215686274509804,0.42678358783671877,0.4246962460197754,0.404091848085174
Decision_SVM_b4610,0.43137254901960786,0.4672202797202798,0.4566155522037875,0.3968617195161817
Decision_DT_b4010,0.3431372549019608,0.363515406162465,0.3426701022289258,0.33240762624343856
Decision_RF_b4010,0.37254901960784315,0.372459294419367,0.37847536450477626,0.3570746747999564
Decision_LR_b4010,0.3235294117647059,0.311869786461438,0.3164844142785319,0.30037921883979457
Decision_SVM_b4010,0.35294117647058826,0.3427368847627468,0.35967194570135747,0.3308693099560716
Fuel_b46,0.3627450980392157,0.27707282913165265,0.30735294117647055,0.2602716727716728
Moisture_b46,0.3431372549019608,0.2548118548118548,0.28394024276377217,0.2607385053813625
Topology/Geography_b46,0.28431372549019607,0.17092731829573934,0.25284780578898225,0.191700007618828
Weather_b46,0.37254901960784315,0.314247311827957,0.30933706816059753,0.28902566033000815
Fuel_b40,0.30392156862745096,0.14390192570767127,0.2996732026143791,0.19119152046783627
Moisture_b40,0.29411764705882354,0.1385401769161502,0.29084967320261434,0.18695652173913044
Topology/Geography_b40,0.30392156862745096,0.12739641311069883,0.2954248366013072,0.17342657342657342
Weather_b40,0.3431372549019608,0.1202791461412151,0.3333333333333333,0.17555555555555555
Prediction_b16,0.4215686274509804,0.3184178743961353,0.39675925925925926,0.3425174325049169
Prediction_b10,0.35294117647058826,0.24702380952380953,0.3031318082788671,0.2578644349477683
Prediction_bs6,0.3431372549019608,0.16534391534391532,0.35555555555555557,0.22068048910154173
Prediction_bs0,0.21568627450980393,0.2087251828631139,0.2139161220043573,0.1846819645732689
